r_half_pix,r_half_pix_error,r_half_pix_corrected,xcentroid,ycentroid,concentration,ellipticity,stellarity,snr_median,snr_min,quality_flag,in_star_mask,flux_b,error_b,flux_i,error_i,flux_u,error_u,flux_v,error_v,redshift,redshift_lo,redshift_hi,redshift_err,chi_sq_min,photo_z_odds,galaxy_type,r_half_arcsec,r_half_arcsec_error,color_stellarity
3.160152554512024,0.242764314590627,3.0122662950096415,1393.188571532158,240.21058241449145,0.4440464377403259,0.25553998351097107,0.4030507405598958,38.381235122680664,17.722017288208008,0,False,1.308667041361332e-19,3.926815278828144e-21,6.937777437269688e-20,1.5815766004379839e-21,2.4870722373016177e-19,1.4033793003181927e-20,7.858692336827517e-20,1.809255330590531e-21,1.0,0.8943389836687302,1.0422751670773025,0.07396809170428614,14.639412100616402,0.997168221237531,sbt1,0.12049065180038566,0.00971057258362508,0.4961642727479158
6.328381299972534,0.5482240851345925,6.255844782449794,171.60785078609612,260.5128461379094,0.43247535824775696,0.3791937083005905,0.3013297915458679,60.598541259765625,27.673110961914062,0,False,7.582273125648498e-19,1.5233859512954948e-20,4.620743170380592e-19,6.469401752110571e-21,1.3511080494150518e-18,4.882385064847767e-20,4.279292942583561e-19,5.748475471045822e-21,0.9400000000000001,0.8959686200136724,0.9580486701843187,0.031040025085323164,11.403626627677296,0.9999999995358345,sbt1,0.2502337912979917,0.0219289634053837,0.4574583178382074
3.1561055183410645,0.34685778146422647,3.0080202970001984,1240.4262922297416,316.57722285567326,0.43329645693302155,0.0902906097471714,0.49530035505692166,97.19159698486328,25.104488372802734,0,False,3.313919275999069e-19,4.117276798933744e-21,2.212940908968449e-19,1.942964334739372e-21,3.186740804929286e-19,1.269390208472032e-20,2.506935225427151e-19,2.004694700008258e-21,0.0,0.004791937185583765,0.08438980078002258,0.039798931797219404,7.471126506118971,0.9225993693111693,sbt4,0.12032081188000794,0.013874311258569059,0.7288078069262471
5.5914976596832275,1.0371700797511523,5.509267659363198,353.1275937109623,340.0630594551301,0.3678105026483536,0.405876025557518,0.17576682070891061,78.57956314086914,35.29409408569336,0,False,3.6897692978382106e-19,5.379626946523785e-21,2.2181938402354717e-19,2.5044153444468976e-21,5.7613014588132495e-19,1.6323693649610503e-20,2.3507498927414416e-19,2.635597785701975e-21,1.0,0.9826502954175688,1.0408621761133754,0.029105940347903314,0.9003895975601547,0.9999999999969367,sbt2,0.22037070637452794,0.04148680319004609,0.6044244388121627
3.1448261737823486,0.27752695044871695,2.9961835270171235,1804.9298599357703,356.95474873087653,0.431946262717247,0.16478382050991058,0.4433878908554713,113.14520263671875,46.89640808105469,0,False,4.205323487520218e-19,4.118524328805506e-21,2.280882738530636e-19,1.8367122451309114e-21,8.213142186403274e-19,1.751336621819064e-20,2.6836463168263437e-19,1.917631924152374e-21,0.87,0.8265813319083019,0.878563476624042,0.02599107235787007,24.92548970925042,0.9999999999339619,sbt2,0.11984734108068494,0.011101078017948678,0.49320487710227817
5.506792068481445,0.9765474934072903,5.423277878714348,1049.2451675780474,466.3043751237203,0.3938995897769928,0.48719990253448486,0.16503271460533145,56.69829177856445,20.998737335205078,0,False,2.187461033463478e-19,4.356111539527774e-21,1.2926514279097319e-19,2.0459595252759756e-21,2.9752859189175066e-19,1.4168874110328034e-20,1.646811968833208e-19,2.330383564112708e-21,1.1400000000000001,0.1867724532022674,1.15801399731503,0.4856207720563813,24.60078667100467,0.7489559119556839,sbt3,0.21693111514857394,0.039061899736291615,0.8085425339347454
8.891281843185425,1.57593308011948,8.839800726216685,1885.0002805800746,570.6091804018228,0.3635878413915634,0.3523935228586197,0.20438405374685922,152.77555465698242,40.676856994628906,0,False,7.115418076515197e-19,7.701308466494083e-21,1.0336098864674568e-18,4.84901360468939e-21,8.78798796609044e-19,2.1604387808474712e-20,1.2081554263830185e-18,5.214935629628598e-21,0.41000000000000003,0.407542917018716,0.4595305785679744,0.025993830774629217,66.62627240347553,0.9999999520902851,sbt6,0.35359202904866743,0.0630373232047792,0.45197043260423897
4.855480432510376,0.16087668991880924,4.76055399032018,1293.411567789362,632.4766360696601,0.44592560827732086,0.20364515483379364,0.440779243906339,58.88781929016113,17.748031616210938,0,False,2.928554445505142e-19,4.841292835772037e-21,9.919966384768486e-20,1.7317018500762062e-21,2.1672891546040772e-19,1.2211427968577481e-20,1.8683705538511277e-19,2.1375921950675546e-21,1.42,1.4109203798213297,1.429551545297878,0.009315582738274153,30.18530569537738,1.0,sbt1,0.19042215961280723,0.00643506759675237,0.36836805359251873
7.778429746627808,0.31937951844513995,7.719530645543586,1535.4567142349058,748.3518729005636,0.43462321162223816,0.1315557323396206,0.4700015311439832,118.47830963134766,39.98188781738281,0,False,1.0215761959552764e-18,8.226559264585375e-21,3.5162351951003073e-19,3.1178823322989046e-21,1.0615222161635756e-18,2.6550071756355462e-20,6.326310244202614e-19,3.4742281946819275e-21,1.3,1.2934264809184364,1.3080129871526494,0.007293253117106491,33.67984262328815,0.9956254593609215,sbt1,0.30878122582174344,0.012775180737805598,0.505556477494038
4.556984901428223,0.1399743136825258,4.455703699316981,1674.4572733844907,755.2241966185128,0.4388381391763687,0.36700528860092163,0.3200600395600001,203.98102569580078,52.000938415527344,0,False,7.545667469501495e-19,5.8760290965437886e-21,8.618460252881051e-19,3.0830016534309835e-21,1.1375060632824897e-18,2.1874717381433583e-20,1.0305913281440734e-18,3.257857190910727e-21,0.45,0.42019997781684737,0.47591194572067735,0.027855983951914992,24.236655945230687,0.9999999999998392,sbt5,0.17822814797267925,0.005598972547301032,0.5231213284602948
