r_half_pix,r_half_pix_error,r_half_pix_corrected,xcentroid,ycentroid,concentration,ellipticity,stellarity,snr_median,snr_min,quality_flag,in_star_mask,flux_b,error_b,flux_i,error_i,flux_u,error_u,flux_v,error_v,redshift,redshift_lo,redshift_hi,redshift_err,chi_sq_min,photo_z_odds,galaxy_type,r_half_arcsec,r_half_arcsec_error,color_stellarity
4.873826026916504,0.16084755760197003,4.779263981504993,826.9422858530509,229.0628546029584,0.46587277948856354,0.14169985800981522,0.5153213938077291,164.36795043945312,53.34419631958008,64,False,1.1736827254295348e-18,8.750730287283658e-21,7.757824316620827e-19,3.726486361119896e-21,1.695880402997136e-18,3.179127449984662e-20,7.964281645417213e-19,4.0923911752179266e-21,1.11,1.0880008520690894,1.1255765806610867,0.018787864295998657,16.011444557144507,0.999999575357973,sbt2,0.19117055926019974,0.006433902304078801,0.6472347182131878
3.160152554512024,0.242764314590627,3.0122662950096415,1393.188571532158,240.21058241449145,0.4440464377403259,0.25553998351097107,0.4030507405598958,38.381235122680664,17.722017288208008,0,False,1.308667041361332e-19,3.926815278828144e-21,6.937777437269688e-20,1.5815766004379839e-21,2.4870722373016177e-19,1.4033793003181927e-20,7.858692336827517e-20,1.809255330590531e-21,1.0,0.8943389836687302,1.0422751670773025,0.07396809170428614,14.639412100616402,0.997168221237531,sbt1,0.12049065180038566,0.00971057258362508,0.4961642727479158
6.328381299972534,0.5482240851345925,6.255844782449794,171.60785078609612,260.5128461379094,0.43247535824775696,0.3791937083005905,0.3013297915458679,60.598541259765625,27.673110961914062,0,False,7.582273125648498e-19,1.5233859512954948e-20,4.620743170380592e-19,6.469401752110571e-21,1.3511080494150518e-18,4.882385064847767e-20,4.279292942583561e-19,5.748475471045822e-21,0.9400000000000001,0.8959686200136724,0.9580486701843187,0.031040025085323164,11.403626627677296,0.9999999995358345,sbt1,0.2502337912979917,0.0219289634053837,0.4574583178382074
3.4621018171310425,0.2675069346385194,3.3276618001900835,3885.780256389749,262.12040144552367,0.42648936808109283,0.10426472127437592,0.4746391326189041,46.20410346984863,12.234848976135254,0,False,1.3651049956679343e-19,4.947624588385224e-21,1.5875191763043404e-19,2.3465437290724366e-21,1.9005027040839194e-19,1.5533514934941193e-20,1.6210910864174365e-19,2.5010239204857498e-21,0.5700000000000001,0.5540719781572963,0.5897972621773421,0.01786264201002291,2.0403477113702695,0.9717399085230631,sbt5,0.13310647200760334,0.010700277385540776,0.6359077872726142
8.164499759674072,0.3195990464782605,8.10840553931414,2540.8717821742944,281.0911281977165,0.4566242843866348,0.4641951769590378,0.28491035600503284,108.12777328491211,18.18437957763672,64,False,4.180889010429382e-19,6.33955905213952e-21,1.0153098911046981e-18,4.0497536305338146e-21,3.124395238701254e-19,1.7181748506845904e-20,5.86910556256771e-19,3.904762251768261e-21,1.12,1.1110676766186938,1.1316143486230528,0.0102733360021795,20.733509689849917,0.9999999999999999,Sb,0.3243362215725656,0.01278396185913042,0.6174319484699365
6.134134531021118,0.23777575608009763,6.05927310070506,560.0030418165585,303.52656666919785,0.5074677765369415,0.1397653967142105,0.5734897355238596,71.16378211975098,19.612335205078125,64,False,2.3701000213623047e-19,5.030866153538227e-21,2.3596719615161418e-19,2.301754878135398e-21,3.14502163650468e-19,1.603593088220805e-20,2.4090219363570215e-19,2.5300491729285567e-21,0.24,0.23333685735189627,0.28676969473889763,0.02671641869350068,7.451380276534211,0.9082535050326441,sbt3,0.24237092402820243,0.009511030243203905,0.7240417013330538
3.1561055183410645,0.34685778146422647,3.0080202970001984,1240.4262922297416,316.57722285567326,0.43329645693302155,0.0902906097471714,0.49530035505692166,97.19159698486328,25.104488372802734,0,False,3.313919275999069e-19,4.117276798933744e-21,2.212940908968449e-19,1.942964334739372e-21,3.186740804929286e-19,1.269390208472032e-20,2.506935225427151e-19,2.004694700008258e-21,0.0,0.004791937185583765,0.08438980078002258,0.039798931797219404,7.471126506118971,0.9225993693111693,sbt4,0.12032081188000794,0.013874311258569059,0.7288078069262471
6.963493347167969,0.09076639981700123,6.897638991735853,2506.454216270406,325.13362593734064,0.45673729479312897,0.45828841626644135,0.28903654714425403,76.53853607177734,26.04616355895996,64,False,3.55367711186409e-19,5.7624093722552055e-21,2.459812615066767e-19,2.5286525604315104e-21,4.976861263625324e-19,1.9107842791709116e-20,2.4048380121588704e-19,2.630909273866564e-21,1.1,1.0854429906100929,1.1226758038486258,0.018616406619266446,12.922474837456246,0.9093429493970699,sbt2,0.27590555966943414,0.0036306559926800493,0.6310986350099118
5.5914976596832275,1.0371700797511523,5.509267659363198,353.1275937109623,340.0630594551301,0.3678105026483536,0.405876025557518,0.17576682070891061,78.57956314086914,35.29409408569336,0,False,3.6897692978382106e-19,5.379626946523785e-21,2.2181938402354717e-19,2.5044153444468976e-21,5.7613014588132495e-19,1.6323693649610503e-20,2.3507498927414416e-19,2.635597785701975e-21,1.0,0.9826502954175688,1.0408621761133754,0.029105940347903314,0.9003895975601547,0.9999999999969367,sbt2,0.22037070637452794,0.04148680319004609,0.6044244388121627
3.1448261737823486,0.27752695044871695,2.9961835270171235,1804.9298599357703,356.95474873087653,0.431946262717247,0.16478382050991058,0.4433878908554713,113.14520263671875,46.89640808105469,0,False,4.205323487520218e-19,4.118524328805506e-21,2.280882738530636e-19,1.8367122451309114e-21,8.213142186403274e-19,1.751336621819064e-20,2.6836463168263437e-19,1.917631924152374e-21,0.87,0.8265813319083019,0.878563476624042,0.02599107235787007,24.92548970925042,0.9999999999339619,sbt2,0.11984734108068494,0.011101078017948678,0.49320487710227817
