r_half_pix,r_half_pix_error,r_half_pix_corrected,xcentroid,ycentroid,concentration,ellipticity,stellarity,snr_median,snr_min,quality_flag,in_star_mask,flux_b,error_b,flux_i,error_i,flux_u,error_u,flux_v,error_v,redshift,redshift_lo,redshift_hi,redshift_err,chi_sq_min,photo_z_odds,galaxy_type,r_half_arcsec,r_half_arcsec_error,color_stellarity
3.160152554512024,0.242764314590627,3.0122662950096415,1393.188571532158,240.21058241449145,0.4440464377403259,0.25553998351097107,0.4030507405598958,38.381235122680664,17.722017288208008,0,False,1.308667041361332e-19,3.926815278828144e-21,6.937777437269688e-20,1.5815766004379839e-21,2.4870722373016177e-19,1.4033793003181927e-20,7.858692336827517e-20,1.809255330590531e-21,1.0,0.8943389836687302,1.0422751670773025,0.07396809170428614,14.639412100616402,0.997168221237531,sbt1,0.12049065180038566,0.00971057258362508,0.4961642727479158
6.328381299972534,0.5482240851345925,6.255844782449794,171.60785078609612,260.5128461379094,0.43247535824775696,0.3791937083005905,0.3013297915458679,60.598541259765625,27.673110961914062,0,False,7.582273125648498e-19,1.5233859512954948e-20,4.620743170380592e-19,6.469401752110571e-21,1.3511080494150518e-18,4.882385064847767e-20,4.279292942583561e-19,5.748475471045822e-21,0.9400000000000001,0.8959686200136724,0.9580486701843187,0.031040025085323164,11.403626627677296,0.9999999995358345,sbt1,0.2502337912979917,0.0219289634053837,0.4574583178382074
3.4621018171310425,0.2675069346385194,3.3276618001900835,3885.780256389749,262.12040144552367,0.42648936808109283,0.10426472127437592,0.4746391326189041,46.20410346984863,12.234848976135254,0,False,1.3651049956679343e-19,4.947624588385224e-21,1.5875191763043404e-19,2.3465437290724366e-21,1.9005027040839194e-19,1.5533514934941193e-20,1.6210910864174365e-19,2.5010239204857498e-21,0.5700000000000001,0.5540719781572963,0.5897972621773421,0.01786264201002291,2.0403477113702695,0.9717399085230631,sbt5,0.13310647200760334,0.010700277385540776,0.6359077872726142
3.1561055183410645,0.34685778146422647,3.0080202970001984,1240.4262922297416,316.57722285567326,0.43329645693302155,0.0902906097471714,0.49530035505692166,97.19159698486328,25.104488372802734,0,False,3.313919275999069e-19,4.117276798933744e-21,2.212940908968449e-19,1.942964334739372e-21,3.186740804929286e-19,1.269390208472032e-20,2.506935225427151e-19,2.004694700008258e-21,0.0,0.004791937185583765,0.08438980078002258,0.039798931797219404,7.471126506118971,0.9225993693111693,sbt4,0.12032081188000794,0.013874311258569059,0.7288078069262471
5.5914976596832275,1.0371700797511523,5.509267659363198,353.1275937109623,340.0630594551301,0.3678105026483536,0.405876025557518,0.17576682070891061,78.57956314086914,35.29409408569336,0,False,3.6897692978382106e-19,5.379626946523785e-21,2.2181938402354717e-19,2.5044153444468976e-21,5.7613014588132495e-19,1.6323693649610503e-20,2.3507498927414416e-19,2.635597785701975e-21,1.0,0.9826502954175688,1.0408621761133754,0.029105940347903314,0.9003895975601547,0.9999999999969367,sbt2,0.22037070637452794,0.04148680319004609,0.6044244388121627
3.1448261737823486,0.27752695044871695,2.9961835270171235,1804.9298599357703,356.95474873087653,0.431946262717247,0.16478382050991058,0.4433878908554713,113.14520263671875,46.89640808105469,0,False,4.205323487520218e-19,4.118524328805506e-21,2.280882738530636e-19,1.8367122451309114e-21,8.213142186403274e-19,1.751336621819064e-20,2.6836463168263437e-19,1.917631924152374e-21,0.87,0.8265813319083019,0.878563476624042,0.02599107235787007,24.92548970925042,0.9999999999339619,sbt2,0.11984734108068494,0.011101078017948678,0.49320487710227817
4.263691425323486,0.2530223733117898,4.155267576780016,3414.55298221491,406.7758740080296,0.3662663698196411,0.1522015929222107,0.34230955441792804,33.194149017333984,19.15268325805664,0,False,1.0453337952494621e-19,3.0507102143019435e-21,3.592019183561206e-20,1.1182059839484282e-21,2.3601803383789955e-19,1.2322968161606695e-20,6.792557705193758e-20,1.5326570050092414e-21,0.0,0.0021034094101980727,0.014346740775302723,0.0061216656825523255,92.2962802592697,0.999948527486298,sbt1,0.16621070307120064,0.010120894932471591,0.46301280333067696
3.158091187477112,0.20909533247599082,3.0101036548070628,2459.8146356907732,425.04496059650046,0.41486790776252747,0.14643503725528717,0.4271564881006877,259.87670135498047,124.38859558105469,0,False,1.4493998765945433e-18,6.218403950333595e-21,6.991001859307289e-19,2.4386832548771054e-21,3.1093464031815528e-18,2.499703214270994e-20,8.561437690258026e-19,2.689127657795325e-21,0.78,0.7716841319406114,0.7880972033118411,0.008206535685614857,154.81807250070835,0.9999999999998186,sbt2,0.12040414619228251,0.008363813299039633,0.4395352288831685
4.855943918228149,1.1724966639759289,4.761026717131421,3074.3494419561307,419.95445982924696,0.4117567837238312,0.415373295545578,0.24267910917599997,41.70211410522461,10.710103988647461,0,False,1.3098829463124274e-19,3.7886780453845854e-21,9.52160008251667e-20,1.8235722731333225e-21,1.045916355215013e-19,9.76569112535799e-21,9.436119206249713e-20,1.932418261421844e-21,1.22,1.2114196815855998,1.248370699527212,0.018475508970806076,5.645811829148771,0.9957432938468728,sbt5,0.19044106868525684,0.046899866559037155,0.6188681739426046
6.865190267562866,0.9950929060499157,6.79838373983862,3230.7823494181266,433.3267803085539,0.43909747898578644,0.6547716856002808,0.2318291316429774,111.93818283081055,35.9413948059082,0,False,4.765626519918441e-19,6.07302663847804e-21,4.1221847385168076e-19,2.834979904582724e-21,7.38959306012839e-19,2.056011156819295e-20,4.665720981359482e-19,2.9850880696903912e-21,0.48,0.4514270983215873,0.5080917196306726,0.028332310654542642,2.475402946698541,0.9998504126493799,sbt3,0.2719353495935448,0.03980371624199663,0.6149580029098043
