ra,dec,z_spec,quality
189.01949166666668,62.26171111111111,0.45814,4
189.23290416666666,62.36060277777778,0.58517,4
189.1784625,62.33377222222222,0.8547,4
189.08452499999999,62.291555555555554,0.84802,4
189.19732499999998,62.342980555555556,0.8894,4
189.292225,62.386944444444445,1.25873,3
189.13635416666668,62.31243611111111,0.48264,3
188.92945000000003,62.215525,0.85093,4
189.27437916666668,62.37520555555555,0.48699,4
189.1504833333333,62.31805833333333,0.68091,4
189.00641666666667,62.253725,0.29846,4
189.214375,62.34820277777778,0.74409,4
189.22366666666667,62.353141666666666,0.47244,4
189.1434875,62.31379444444444,0.50267,4
189.17106666666666,62.32645277777778,0.60878,4
189.03334166666667,62.264919444444445,0.45894,4
188.9988541666667,62.24628611111111,0.53056,4
189.2844,62.3811,0.20459,4
189.02512916666666,62.25884722222222,0.45424,4
189.26625833333335,62.36850555555556,1.0084,3
189.19027499999999,62.33354166666667,1.01771,3
189.13260833333334,62.30566944444444,0.94337,4
189.12510833333334,62.304899999999996,0.50325,4
189.05147916666667,62.268927777777776,0.76599,4
189.20139583333332,62.33606666666667,0.90812,4
189.28544166666669,62.375166666666665,1.25267,3
189.11169166666667,62.29578333333333,0.52939,3
189.24049166666666,62.357216666666666,0.52817,3
189.04315416666668,62.26265277777778,0.94555,3
188.97055416666666,62.22803888888889,0.94715,3
188.9840625,62.23413333333333,0.94528,3
189.12809166666668,62.30190277777778,1.02302,3
188.92340833333333,62.20589722222223,0.63882,4
188.90624166666666,62.19801944444444,0.37585,4
189.11992916666665,62.29708055555555,0.9437,3
188.98669166666667,62.23511388888889,1.0275,3
189.17199583333334,62.320008333333334,1.25991,4
189.1793708333333,62.32351111111112,0.68227,4
189.2129375,62.340925000000006,0.74473,4
189.20307916666667,62.33406666666667,1.01161,4
189.1480625,62.309461111111105,0.6806,4
188.92244166666666,62.20491388888889,0.45862,4
188.93909166666668,62.210211111111114,0.71331,4
189.07492499999998,62.276383333333335,0.68011,4
188.97043333333335,62.2247,0.4092,4
189.04525416666667,62.25886111111111,0.94472,3
188.90717083333334,62.19467777777778,0.4091,4
189.15733333333333,62.31239444444444,0.68174,4
189.13425416666666,62.29927222222222,1.01296,3
188.92108333333334,62.193463888888886,0.49673,4
189.17795416666667,62.320861111111114,0.94748,3
189.23635833333333,62.346852777777784,1.36488,3
189.18982916666667,62.327533333333335,0.27668,4
189.08486249999999,62.27526666666667,0.74633,4
189.1710833333333,62.31529166666667,0.2983,4
189.08850416666667,62.27778611111111,0.45874,4
189.07863333333333,62.2726,0.50232,4
189.21849166666667,62.33683055555556,1.263,3
189.18906249999998,62.32351944444445,1.14397,4
189.1990875,62.32872777777778,0.50719,4
188.95374583333333,62.21220277777778,0.41016,3
188.92330416666667,62.19758333333333,1.10725,4
189.00071250000002,62.2358,0.11367,4
189.09038750000002,62.27654444444445,0.52924,4
189.25302083333335,62.35073611111111,1.03914,4
188.98288333333335,62.22578333333333,1.29588,4
189.27458750000002,62.36405555555556,0.3308,4
189.0863,62.27279722222222,0.68007,4
189.29282916666668,62.36889166666667,0.50204,4
189.2922125,62.368319444444445,1.36442,3
189.25475833333334,62.352586111111115,0.79966,4
189.090325,62.27450833333333,0.74676,4
189.2100125,62.33045277777778,1.01638,4
188.93836666666667,62.206138888888894,0.4734,4
188.988325,62.228633333333335,0.39497,4
188.97600833333337,62.22055277777778,0.67555,4
189.29510833333336,62.36977777777778,1.36444,4
188.96822916666667,62.216705555555556,1.32996,3
189.01715833333333,62.24020277777778,0.74789,4
189.076875,62.267091666666666,0.79803,4
189.00752083333333,62.234775,0.43592,4
189.02471666666668,62.24328055555556,0.40836,4
189.25260833333334,62.34845555555556,0.7939,4
189.261,62.352561111111115,0.79528,4
189.2761541666667,62.360058333333335,0.90317,4
189.21066666666667,62.32946666666667,1.01587,4
189.19185000000002,62.31948333333334,0.29953,4
189.2813125,62.36321388888889,1.44979,4
189.21725833333332,62.33109166666667,0.55029,4
189.08847083333333,62.27178055555555,0.68131,4
189.11095833333331,62.281213888888885,0.59459,4
189.07261666666665,62.26423888888889,0.37584,4
