[FLY99],RAJ2000,DEJ2000,[WBD96],ABmag,z_spec,z_phot,Type
87,12 36 53.097,+62 12 07.53,3-822.0,27.74,,0.36,3
88,12 37 01.055,+62 12 32.25,3-818.0,25.55,,1.24,4
89,12 36 50.816,+62 12 00.81,4-71.0,25.86,,0.52,4
90,12 36 43.696,+62 11 39.00,4-761.0,27.37,,3.84,4
91,12 36 42.287,+62 11 34.72,4-910.0,23.84,,0.76,3
92,12 36 47.439,+62 11 50.89,4-406.0,24.02,,1.12,3
93,12 36 59.235,+62 12 27.25,3-813.0,25.75,,2.64,4
94,12 36 45.181,+62 11 43.99,4-613.0,27.73,,1.32,4
95,12 36 56.606,+62 12 19.23,3-815.2,25.04,,1.2,4
96,12 36 58.626,+62 12 25.59,3-812.0,26.75,,1.56,4
97,12 36 42.913,+62 11 37.30,4-845.0,24.84,,1.28,4
98,12 36 45.645,+62 11 45.84,4-551.0,27.46,,3.6,4
99,12 36 44.452,+62 11 42.17,4-692.0,22.71,1.02,0.96,4
100,12 36 47.903,+62 11 52.87,4-354.0,27.05,,2.16,4
101,12 36 57.765,+62 12 23.24,3-810.0,27.1,,3.12,3
102,12 36 57.123,+62 12 21.52,3-803.0,27.95,,1.48,4
103,12 36 54.465,+62 12 13.41,3-806.0,26.5,,1.72,4
104,12 36 56.651,+62 12 20.14,3-815.1,22.57,,0.76,1
105,12 36 44.650,+62 11 43.27,4-658.2,27.06,,4.32,4
106,12 36 54.635,+62 12 14.10,3-802.0,27.23,,1.12,4
107,12 36 45.269,+62 11 45.40,4-593.0,26.47,,0.28,3
108,12 36 44.729,+62 11 43.78,4-658.1,24.91,,0.64,4
109,12 36 51.871,+62 12 05.95,3-798.0,27.9,,0.96,3
110,12 36 53.474,+62 12 10.93,3-801.0,26.67,,0.4,4
111,12 36 55.797,+62 12 18.37,3-794.0,27.62,,2.24,4
112,12 36 47.566,+62 11 53.15,4-386.0,26.09,,1.08,4
113,12 36 49.175,+62 11 58.14,4-227.0,26.74,,2.96,3
114,12 36 46.447,+62 11 49.84,4-470.0,26.79,,2.92,2
115,12 36 56.680,+62 12 21.64,3-785.0,27.25,,0.6,1
116,12 36 44.904,+62 11 45.40,4-628.0,26.94,,0.96,4
117,12 36 51.254,+62 12 05.09,3-792.0,25.33,,2.88,4
118,12 36 58.055,+62 12 26.12,3-787.0,25.52,,1.08,4
119,12 36 58.951,+62 12 29.02,3-783.0,26.1,,4.08,4
120,12 36 54.787,+62 12 16.54,3-786.0,24.27,,1.6,4
121,12 36 44.757,+62 11 45.79,4-637.0,26.81,,0.04,3
122,12 36 43.799,+62 11 42.88,4-744.0,20.87,0.764,0.64,1
123,12 36 45.937,+62 11 49.53,4-514.0,26.22,,1.52,4
124,12 36 46.506,+62 11 51.33,4-471.0,21.99,0.504,0.4,1
125,12 37 00.565,+62 12 34.61,3-790.1,21.37,0.562,0.44,1
126,12 36 49.000,+62 11 59.08,4-245.0,25.48,,3.48,4
127,12 36 51.886,+62 12 08.00,3-780.0,25.23,,1.52,4
128,12 36 44.297,+62 11 44.82,4-680.0,27.02,,1.08,3
129,12 36 51.684,+62 12 07.59,3-779.0,26.88,,0.56,4
130,12 36 49.758,+62 12 01.68,4-155.0,27.32,,2.44,3
131,12 36 58.752,+62 12 29.48,3-771.0,27.61,,0.88,4
132,12 36 54.534,+62 12 16.56,3-776.0,28.0,,1.48,4
133,12 36 54.233,+62 12 15.65,3-775.0,26.31,,0.44,1
134,12 36 54.979,+62 12 17.98,3-772.0,27.52,,0.24,3
135,12 36 58.666,+62 12 29.33,3-770.0,27.55,,2.28,4
136,12 36 57.847,+62 12 27.01,3-769.0,27.82,,1.6,4
137,12 36 45.411,+62 11 48.93,4-557.0,26.14,,2.24,4
138,12 36 52.012,+62 12 09.67,3-777.11,22.9,0.456,0.52,4
139,12 36 42.651,+62 11 40.85,4-848.0,26.76,,1.52,3
140,12 36 46.789,+62 11 53.61,4-432.0,27.32,,0.64,4
141,12 36 49.452,+62 12 01.83,4-193.0,26.36,,2.16,4
142,12 36 45.784,+62 11 50.55,4-520.0,25.89,,1.64,4
143,12 36 57.584,+62 12 26.94,3-765.0,25.02,,1.12,4
144,12 36 57.211,+62 12 25.81,3-773.1,22.39,0.561,0.64,4
145,12 36 54.385,+62 12 17.34,3-763.0,27.73,,2.12,4
146,12 36 50.396,+62 12 05.12,4-83.0,25.97,,2.56,4
147,12 36 41.235,+62 11 36.88,4-963.0,25.49,,0.04,2
148,12 36 46.661,+62 11 54.00,4-442.0,25.51,,0.8,4
149,12 37 00.010,+62 12 35.10,3-752.0,27.81,,1.56,4
150,12 36 55.517,+62 12 21.39,3-757.0,26.01,,1.6,4
151,12 36 55.049,+62 12 19.96,3-754.0,26.44,,1.64,4
152,12 36 52.536,+62 12 12.30,3-755.0,26.44,,2.2,4
153,12 36 58.268,+62 12 30.01,3-761.1,24.94,,0.76,4
154,12 36 45.028,+62 11 49.38,4-596.0,26.55,,1.24,4
155,12 36 55.304,+62 12 21.17,3-751.0,26.87,,0.52,4
156,12 36 52.085,+62 12 11.42,3-777.2,27.42,,1.84,4
157,12 36 59.978,+62 12 35.93,3-748.0,25.96,,2.2,4
158,12 36 45.132,+62 11 50.33,4-573.0,27.79,,2.96,4
159,12 36 49.047,+62 12 02.45,4-217.0,27.43,,1.6,4
160,12 36 46.994,+62 11 56.30,4-415.0,25.63,,0.68,4
161,12 36 43.545,+62 11 45.76,4-733.0,26.38,,0.96,4
162,12 36 49.869,+62 12 05.30,4-123.0,26.89,,1.92,4
