[FLY99],RAJ2000,DEJ2000,[WBD96],ABmag,z_spec,z_phot,Type
380,12 36 56.507,+62 12 48.32,3-610.2,26.52,,3.8,3
381,12 36 55.572,+62 12 45.48,3-486.0,21.93,0.79,0.88,3
382,12 36 51.004,+62 12 31.58,3-472.0,27.89,,0.64,4
383,12 36 50.318,+62 12 29.97,3-467.0,27.53,,1.92,4
384,12 36 51.753,+62 12 34.42,3-466.0,27.14,,1.28,4
385,12 36 52.382,+62 12 36.46,3-463.0,27.13,,1.72,4
386,12 36 41.597,+62 12 03.55,4-818.0,27.94,,0.44,4
387,12 36 54.328,+62 12 42.83,3-457.0,27.04,,5.48,4
388,12 36 51.284,+62 12 33.74,3-464.0,25.14,,1.64,4
389,12 36 53.379,+62 12 40.28,3-451.0,26.58,,0.12,2
390,12 36 41.232,+62 12 02.93,4-858.13,24.03,3.216,3.04,4
391,12 36 41.937,+62 12 05.43,4-795.111,21.01,0.432,0.48,3
392,12 36 43.704,+62 12 10.97,4-598.0,27.13,,0.8,4
393,12 36 41.617,+62 12 04.59,4-802.0,26.77,,4.56,4
394,12 36 58.347,+62 12 56.21,3-454.11,24.28,,0.52,4
395,12 36 40.884,+62 12 02.76,4-888.2,26.46,,0.2,3
396,12 36 47.814,+62 12 24.14,4-212.0,26.26,,1.4,4
397,12 36 55.238,+62 12 47.01,3-439.0,27.48,,1.72,4
398,12 36 58.231,+62 12 56.25,3-454.2,27.07,,1.92,4
399,12 36 40.942,+62 12 03.12,4-888.12,25.85,,1.16,3
400,12 36 40.626,+62 12 02.24,4-896.0,27.85,,1.6,4
401,12 36 57.816,+62 12 55.21,3-433.0,27.02,,1.32,4
402,12 36 40.815,+62 12 03.05,4-888.11,23.36,1.01,1.0,4
403,12 36 56.079,+62 12 50.15,3-429.0,27.6,,1.84,4
404,12 36 48.564,+62 12 27.10,4-122.0,26.75,,1.48,4
405,12 36 56.730,+62 12 52.51,3-430.2,24.01,1.231,1.08,2
406,12 36 48.428,+62 12 26.96,4-135.0,27.74,,0.04,1
407,12 36 51.320,+62 12 35.87,3-431.0,26.45,,1.28,4
408,12 36 46.201,+62 12 20.25,4-362.1,27.75,,0.0,1
409,12 36 55.625,+62 12 49.27,3-443.0,22.99,0.95,0.92,4
410,12 36 52.724,+62 12 40.41,3-424.0,27.29,,0.64,4
411,12 36 41.255,+62 12 05.18,4-834.0,26.85,,1.36,3
412,12 36 49.066,+62 12 29.28,4-69.0,26.84,,0.96,3
413,12 36 44.561,+62 12 15.46,4-505.1,25.3,,1.44,2
414,12 36 54.497,+62 12 46.08,3-422.0,26.67,,0.16,4
415,12 36 52.960,+62 12 41.39,3-421.0,27.66,,2.16,4
416,12 36 56.597,+62 12 52.69,3-430.1,23.95,,1.28,4
417,12 36 48.800,+62 12 28.83,4-94.0,27.52,,1.64,4
418,12 36 46.943,+62 12 23.17,4-295.1,26.55,,0.96,4
419,12 36 49.361,+62 12 30.90,4-20.0,27.97,,0.96,4
420,12 36 41.531,+62 12 06.82,4-813.1,26.22,,3.0,4
421,12 36 54.682,+62 12 47.56,3-416.0,26.11,,1.08,3
422,12 36 42.961,+62 12 11.47,4-660.0,25.99,,1.72,4
423,12 36 41.422,+62 12 06.79,4-813.2,27.44,,0.16,1
424,12 36 40.954,+62 12 05.36,4-878.11,23.28,,0.0,3
425,12 36 57.830,+62 12 57.47,3-410.0,27.89,,1.36,4
426,12 36 40.519,+62 12 04.25,4-894.0,27.42,,4.24,4
427,12 36 53.213,+62 12 43.37,3-413.0,27.29,,0.52,4
428,12 36 40.743,+62 12 04.96,4-878.2,24.6,,0.88,3
429,12 36 57.119,+62 12 55.49,3-409.0,27.38,,1.52,4
430,12 36 57.349,+62 12 56.23,3-412.0,25.34,,0.56,4
431,12 36 49.874,+62 12 33.45,3-414.0,26.61,,0.76,4
432,12 36 57.933,+62 12 58.46,3-405.2,26.81,,2.16,4
433,12 36 41.555,+62 12 08.09,4-794.0,26.41,,1.28,4
434,12 36 42.571,+62 12 11.40,4-687.0,27.06,,0.0,3
435,12 36 46.269,+62 12 22.85,4-341.0,27.58,,0.32,4
436,12 36 57.166,+62 12 56.43,3-409.0,25.98,,0.28,1
437,12 36 56.581,+62 12 54.88,3-402.0,27.09,,1.16,4
438,12 36 56.995,+62 12 56.51,3-404.1,24.6,,0.8,4
439,12 36 43.695,+62 12 15.56,4-572.0,24.9,,0.68,4
440,12 36 44.897,+62 12 19.33,4-455.0,27.35,,1.6,4
441,12 36 53.168,+62 12 45.10,3-399.0,27.29,,2.24,4
442,12 36 55.195,+62 12 51.51,3-398.2,26.95,,1.52,4
443,12 36 45.792,+62 12 22.57,4-387.0,26.93,,0.84,4
444,12 36 46.928,+62 12 26.07,4-289.0,25.24,2.969,2.04,4
445,12 36 58.072,+62 13 00.40,3-405.11,22.37,0.319,0.28,4
446,12 36 51.674,+62 12 40.99,3-397.0,27.22,,2.08,4
447,12 36 46.357,+62 12 24.76,4-327.0,26.67,,1.88,4
448,12 36 46.039,+62 12 23.83,4-353.0,27.46,,1.92,4
449,12 36 47.883,+62 12 29.52,4-174.0,27.59,,0.44,4
450,12 36 55.257,+62 12 52.57,3-398.1,24.25,,0.72,4
451,12 36 43.347,+62 12 15.93,4-605.0,27.31,,1.72,4
452,12 36 55.038,+62 12 52.27,3-387.0,26.02,,0.84,2
453,12 36 58.434,+62 13 02.78,3-382.0,26.51,,2.32,4
454,12 36 56.937,+62 12 58.19,3-404.2,23.59,0.52,0.56,3
455,12 36 50.131,+62 12 37.43,3-386.2,26.95,,1.24,3
456,12 36 44.597,+62 12 20.43,4-472.1,27.22,,2.24,4
457,12 36 56.583,+62 12 57.34,3-378.0,25.63,,1.0,1
458,12 36 57.310,+62 12 59.65,3-400.1,21.32,0.473,0.48,4
459,12 36 42.366,+62 12 13.86,4-690.0,27.37,,0.84,4
460,12 36 49.556,+62 12 36.04,3-389.0,24.68,,2.08,4
461,12 36 40.454,+62 12 08.03,4-882.0,27.72,,2.08,4
462,12 36 41.434,+62 12 11.37,4-790.0,27.69,,2.4,3
463,12 36 50.973,+62 12 40.84,3-377.0,27.1,,0.68,4
464,12 36 41.140,+62 12 10.59,4-822.0,25.0,,0.48,3
465,12 36 43.621,+62 12 18.28,4-565.0,22.71,0.75,0.64,3
466,12 36 40.006,+62 12 07.38,4-928.1,22.28,1.015,0.92,2
467,12 36 42.911,+62 12 16.37,4-656.1,20.73,0.454,0.44,3
468,12 36 40.459,+62 12 08.99,4-877.0,27.0,,1.24,3
469,12 36 45.616,+62 12 24.90,4-389.0,26.39,,2.16,4
470,12 36 56.380,+62 12 58.13,3-371.0,26.88,,3.12,4
471,12 36 43.247,+62 12 17.77,4-600.0,27.4,,6.52,4
472,12 36 40.963,+62 12 10.75,4-830.0,27.35,,0.36,2
473,12 36 52.028,+62 12 45.09,3-369.0,26.47,,1.04,3
474,12 36 43.300,+62 12 18.36,4-590.0,25.75,,2.12,4
475,12 36 56.670,+62 12 59.57,3-368.0,25.93,,1.2,4
476,12 36 47.281,+62 12 30.68,4-232.12,22.77,0.421,0.48,4
477,12 36 50.217,+62 12 39.74,3-386.111,20.67,0.474,0.44,3
478,12 36 58.567,+62 13 05.46,3-363.1,25.92,,1.72,4
479,12 36 55.333,+62 12 55.54,3-367.0,25.24,,4.56,4
480,12 36 53.127,+62 12 48.76,3-370.1,26.6,,1.56,4
481,12 36 56.130,+62 12 58.02,3-361.0,27.78,,1.08,4
482,12 36 41.136,+62 12 12.21,4-807.0,27.43,,2.92,3
483,12 36 47.783,+62 12 32.94,4-173.0,23.34,0.959,1.04,3
484,12 36 56.283,+62 12 59.22,3-351.0,27.47,,0.36,3
485,12 36 43.189,+62 12 19.20,4-599.0,26.26,,2.0,4
486,12 36 56.924,+62 13 01.58,3-355.0,23.03,,1.28,2
487,12 36 45.264,+62 12 25.70,4-407.0,25.35,,0.68,4
488,12 36 46.666,+62 12 30.07,4-280.0,26.94,,3.4,4
489,12 36 46.219,+62 12 28.78,4-322.2,24.38,,1.44,4
490,12 36 56.166,+62 12 59.56,3-349.2,27.38,,2.2,4
491,12 36 56.344,+62 13 00.12,3-349.12,26.77,,1.04,4
492,12 36 56.256,+62 13 00.02,3-349.11,26.82,,2.68,4
493,12 36 45.349,+62 12 26.78,4-395.0,25.98,,1.16,4
494,12 36 44.115,+62 12 23.09,4-500.0,27.12,,1.64,4
495,12 36 41.481,+62 12 15.00,4-767.0,23.47,,0.88,1
496,12 36 58.160,+62 13 06.42,3-342.0,24.51,,0.52,4
497,12 36 57.107,+62 13 03.24,3-340.0,26.4,,1.4,4
498,12 36 43.806,+62 12 22.44,4-525.0,26.92,,1.44,4
499,12 36 47.179,+62 12 33.10,4-216.0,27.8,,3.2,4
500,12 36 53.900,+62 12 54.00,3-350.1,20.89,0.642,0.64,2
501,12 36 44.939,+62 12 26.54,4-423.0,26.66,,1.8,3
502,12 36 57.754,+62 13 06.03,3-329.0,27.23,,1.32,4
503,12 36 53.354,+62 12 52.50,3-335.0,25.69,,0.12,3
504,12 36 52.249,+62 12 49.38,3-330.0,25.54,,0.96,4
505,12 36 42.354,+62 12 19.05,4-671.0,26.75,,0.96,4
506,12 36 49.866,+62 12 42.20,3-331.0,24.47,,1.08,4
507,12 36 54.617,+62 12 57.07,3-324.0,27.68,,5.2,4
508,12 36 51.635,+62 12 48.14,3-323.0,27.7,,0.84,2
509,12 36 50.437,+62 12 44.79,3-321.2,24.96,,0.0,4
510,12 36 57.244,+62 13 05.78,3-311.0,27.59,,1.8,4
511,12 36 42.648,+62 12 20.86,4-636.0,26.42,,0.6,4
512,12 36 54.782,+62 12 58.29,3-318.0,24.31,,0.92,4
513,12 36 52.561,+62 12 51.56,3-310.0,26.81,,1.12,3
514,12 36 53.342,+62 12 53.97,3-308.0,27.1,,1.04,4
515,12 36 49.941,+62 12 43.50,3-320.0,25.41,,1.76,4
516,12 36 52.782,+62 12 52.34,3-309.0,27.38,,2.2,4
517,12 36 44.638,+62 12 27.42,4-445.0,23.73,2.268,1.32,4
518,12 36 45.947,+62 12 31.52,4-326.0,27.65,,1.64,4
519,12 36 40.858,+62 12 15.90,4-816.0,26.94,,0.48,3
520,12 36 55.483,+62 13 00.96,3-302.0,25.5,,1.04,3
521,12 36 39.430,+62 12 11.78,4-942.0,23.82,,1.0,2
522,12 36 47.598,+62 12 37.17,4-160.0,25.16,,0.04,1
523,12 36 52.245,+62 12 51.56,3-296.2,26.66,,0.92,4
524,12 36 50.263,+62 12 45.78,3-321.1,21.45,0.678,0.56,1
525,12 36 46.266,+62 12 33.47,4-300.0,25.17,,1.12,3
526,12 36 55.925,+62 13 03.30,3-290.0,27.05,,0.12,3
527,12 36 48.081,+62 12 39.23,4-107.0,25.47,,0.92,4
528,12 36 39.168,+62 12 11.76,4-960.0,25.82,,2.28,4
529,12 36 52.249,+62 12 52.12,3-296.1,25.96,,2.24,4
530,12 36 45.368,+62 12 30.99,4-379.0,27.78,,0.08,2
531,12 36 57.226,+62 13 07.63,3-289.0,24.57,,0.92,1
532,12 36 47.617,+62 12 38.27,4-150.0,27.92,,1.92,4
533,12 36 57.354,+62 13 08.36,3-281.0,27.28,,3.96,4
534,12 36 39.717,+62 12 14.10,4-926.1,23.82,,1.04,2
535,12 36 49.595,+62 12 44.68,3-286.0,26.29,,1.72,4
536,12 36 39.559,+62 12 13.79,4-926.2,25.37,,2.92,4
537,12 36 47.037,+62 12 36.86,4-241.1,20.98,0.321,0.48,4
538,12 36 41.318,+62 12 19.25,4-754.0,27.92,,1.36,4
539,12 36 55.755,+62 13 03.97,3-278.0,27.89,,0.12,3
540,12 36 46.156,+62 12 34.55,4-299.0,27.95,,4.28,4
541,12 36 52.958,+62 12 56.01,3-271.22,26.11,,2.32,4
542,12 36 46.216,+62 12 35.25,4-294.0,27.81,,0.0,2
543,12 36 42.164,+62 12 23.01,4-665.0,26.48,,1.56,4
544,12 36 45.565,+62 12 33.56,4-345.0,26.96,,1.6,4
545,12 36 53.103,+62 12 56.90,3-271.1,25.31,,0.44,4
546,12 36 51.030,+62 12 50.60,3-265.0,27.72,,1.92,4
547,12 36 44.496,+62 12 30.49,4-438.0,26.89,,1.4,4
548,12 36 52.972,+62 12 56.74,3-271.21,25.49,,0.8,4
549,12 36 55.159,+62 13 03.61,3-266.0,23.59,,0.72,1
550,12 36 48.863,+62 12 44.39,3-260.0,27.02,,4.24,4
551,12 36 47.620,+62 12 40.57,4-136.0,26.23,,1.64,4
552,12 36 51.955,+62 12 53.92,3-256.0,27.49,,2.64,4
553,12 36 56.448,+62 13 07.83,3-254.0,26.7,,2.08,4
554,12 36 49.872,+62 12 47.62,3-255.0,26.77,,4.92,4
555,12 36 45.350,+62 12 33.72,4-368.0,25.86,,1.8,3
556,12 36 42.611,+62 12 25.31,4-619.0,28.0,,2.52,4
557,12 36 54.198,+62 13 01.08,3-257.0,24.91,,1.32,3
558,12 36 56.720,+62 13 08.90,3-250.0,26.83,,1.8,4
559,12 36 42.954,+62 12 26.66,4-581.21,26.17,,1.6,4
560,12 36 45.511,+62 12 34.60,4-344.0,26.93,,1.4,4
561,12 36 56.933,+62 13 10.00,3-242.0,26.9,,0.68,1
562,12 36 50.252,+62 12 49.48,3-246.0,26.05,,1.52,3
563,12 36 50.843,+62 12 51.47,3-259.0,23.16,,0.56,4
564,12 36 50.475,+62 12 50.41,3-241.0,27.12,,3.8,4
565,12 36 48.992,+62 12 45.89,3-258.0,23.66,,0.52,4
566,12 36 43.132,+62 12 28.10,4-554.1,24.63,,0.84,4
567,12 36 58.293,+62 13 14.80,3-238.0,25.43,,0.92,1
568,12 36 49.810,+62 12 48.79,3-243.0,25.18,3.233,3.12,4
569,12 36 55.014,+62 13 04.86,3-234.0,26.71,,4.48,3
570,12 36 47.909,+62 12 43.19,4-96.0,26.64,,1.72,4
571,12 36 52.006,+62 12 55.83,3-231.2,27.37,,2.36,3
572,12 36 49.913,+62 12 49.40,3-237.0,26.55,,3.96,4
573,12 36 51.249,+62 12 53.52,3-233.0,26.14,,1.12,4
574,12 36 51.898,+62 12 55.55,3-231.1,26.35,,4.16,4
575,12 36 42.861,+62 12 27.87,4-581.11,25.65,,1.64,4
576,12 36 53.097,+62 12 59.43,3-228.0,26.93,,5.04,4
577,12 36 51.562,+62 12 54.78,3-239.0,26.01,,1.4,4
578,12 36 39.888,+62 12 18.97,4-869.0,26.37,,2.56,4
579,12 36 53.332,+62 13 00.56,3-227.0,26.1,,0.48,4
580,12 36 54.032,+62 13 02.72,3-224.0,25.7,,1.08,4
581,12 36 49.471,+62 12 48.72,3-229.0,23.95,,0.76,3
582,12 36 56.782,+62 13 11.28,3-218.0,26.5,,1.0,3
583,12 36 52.785,+62 12 59.01,3-223.0,26.68,,3.84,4
584,12 36 49.053,+62 12 47.57,3-225.0,27.5,,1.0,3
585,12 36 40.285,+62 12 20.76,4-837.0,26.3,,0.92,4
586,12 36 45.945,+62 12 38.29,4-305.0,25.91,,1.08,3
587,12 36 57.851,+62 13 14.97,3-221.22,24.76,,0.08,2
588,12 36 39.579,+62 12 18.72,4-901.0,27.68,,1.16,3
589,12 36 46.328,+62 12 39.59,4-263.1,27.52,,2.8,4
590,12 36 48.353,+62 12 45.95,4-30.0,27.47,,4.36,3
591,12 36 41.930,+62 12 26.18,4-672.2,26.47,,1.6,4
592,12 36 48.481,+62 12 46.49,4-8.0,27.82,,1.92,4
593,12 36 43.784,+62 12 32.08,4-479.0,26.12,,1.52,4
594,12 36 41.003,+62 12 23.52,4-759.0,27.02,,0.68,3
595,12 36 49.572,+62 12 49.95,3-213.0,26.69,,0.68,2
596,12 36 41.982,+62 12 26.68,4-672.1,25.84,,1.64,4
597,12 36 47.354,+62 12 43.25,4-146.0,27.21,,0.48,1
598,12 36 51.326,+62 12 55.51,3-209.0,27.2,,2.24,4
599,12 36 57.716,+62 13 15.19,3-221.1,23.02,0.952,0.92,4
600,12 36 51.025,+62 12 54.71,3-208.0,25.85,,0.04,4
601,12 36 42.281,+62 12 27.84,4-635.0,25.59,,0.72,4
602,12 36 49.656,+62 12 51.16,3-202.0,27.45,,2.08,4
603,12 36 57.009,+62 13 13.83,3-199.0,27.42,,1.6,4
604,12 36 40.042,+62 12 21.60,4-860.11,24.63,,0.2,4
605,12 36 47.040,+62 12 43.27,4-175.0,25.83,,1.12,4
606,12 36 50.285,+62 12 53.43,3-201.0,27.35,,0.32,3
607,12 36 55.155,+62 13 08.83,3-193.0,25.68,,1.4,2
608,12 36 48.553,+62 12 48.53,4-0.0,25.84,,3.24,3
609,12 36 45.307,+62 12 38.62,4-342.0,26.76,,1.4,4
610,12 36 55.265,+62 13 09.47,3-187.0,26.06,,2.68,3
611,12 36 50.820,+62 12 55.89,3-203.0,22.55,0.319,0.28,4
612,12 36 55.975,+62 13 11.77,3-182.0,27.73,,1.24,4
613,12 36 56.518,+62 13 13.51,3-179.0,26.51,,4.56,4
614,12 36 40.423,+62 12 24.06,4-814.0,25.92,,1.44,4
615,12 36 57.519,+62 13 16.75,3-184.0,25.13,,0.44,4
616,12 36 45.438,+62 12 39.63,4-330.0,27.85,,1.28,4
617,12 36 38.967,+62 12 19.77,4-950.0,22.21,0.609,0.56,3
618,12 36 41.429,+62 12 27.56,4-700.0,26.9,,0.76,4
619,12 36 55.458,+62 13 11.19,3-180.1,22.16,0.37,0.88,1
620,12 36 43.112,+62 12 33.17,4-531.0,26.4,,1.16,4
621,12 36 46.520,+62 12 43.91,4-219.0,27.36,,1.64,4
622,12 36 54.709,+62 13 09.31,3-170.0,26.27,,0.44,3
623,12 36 56.363,+62 13 14.48,3-167.0,27.53,,0.96,3
624,12 36 51.008,+62 12 58.03,3-168.0,27.37,,1.36,4
625,12 36 44.994,+62 12 39.63,4-378.0,23.89,,1.2,4
626,12 36 40.630,+62 12 26.38,4-786.0,26.47,,1.6,4
627,12 36 50.876,+62 12 57.99,3-165.0,27.48,,1.32,4
628,12 36 45.658,+62 12 41.93,4-307.0,25.74,,1.64,1
629,12 36 41.945,+62 12 30.62,4-646.0,27.13,,1.72,4
630,12 36 46.607,+62 12 45.00,4-210.1,26.63,,0.56,2
631,12 36 55.148,+62 13 11.38,3-180.21,23.61,,0.28,4
632,12 36 40.913,+62 12 27.64,4-745.0,25.8,,1.6,4
633,12 36 52.368,+62 13 02.97,3-164.0,25.76,,2.52,4
634,12 36 42.407,+62 12 32.49,4-602.0,25.14,,2.04,4
635,12 36 47.800,+62 12 49.40,4-73.0,27.75,,1.44,4
636,12 36 49.070,+62 12 53.34,3-159.0,27.57,,1.48,3
637,12 36 51.428,+62 13 00.63,3-174.0,22.76,0.089,0.08,4
638,12 36 48.920,+62 12 52.93,3-158.0,27.87,,1.44,4
639,12 36 41.947,+62 12 31.67,4-641.0,27.97,,0.32,4
640,12 36 49.512,+62 12 55.18,3-153.0,26.66,,5.32,4
641,12 36 41.682,+62 12 31.06,4-676.1,25.33,,2.08,4
642,12 36 49.446,+62 12 55.20,3-153.0,27.52,,1.24,4
643,12 36 45.679,+62 12 43.94,4-292.0,26.92,,1.08,3
644,12 36 40.226,+62 12 27.17,4-809.0,27.05,,1.04,4
645,12 36 40.847,+62 12 29.23,4-742.0,26.3,,0.92,3
646,12 36 47.597,+62 12 50.11,4-88.0,27.91,,1.2,4
647,12 36 39.610,+62 12 25.68,4-866.0,26.27,,1.64,4
648,12 36 41.034,+62 12 30.43,4-724.11,24.72,,1.72,3
649,12 36 44.925,+62 12 42.61,4-351.0,27.96,,1.92,4
650,12 36 44.185,+62 12 40.34,4-430.0,23.33,0.873,0.92,4
651,12 36 49.225,+62 12 55.97,3-140.0,27.87,,1.84,4
652,12 36 49.904,+62 12 58.14,3-139.0,27.33,,0.52,1
653,12 36 46.126,+62 12 46.50,4-254.0,22.36,,0.6,1
654,12 36 56.037,+62 13 17.07,3-138.0,26.78,,1.92,4
655,12 36 49.636,+62 12 57.57,3-143.0,21.99,0.477,0.48,2
656,12 36 48.622,+62 12 54.48,3-137.0,27.48,,2.16,4
657,12 36 46.821,+62 12 49.13,4-166.1,26.41,,1.64,4
658,12 36 40.175,+62 12 28.80,4-799.0,27.3,,4.84,4
659,12 36 45.172,+62 12 44.43,4-329.0,26.78,,2.24,4
660,12 36 54.230,+62 13 12.33,3-125.0,26.75,,2.44,4
661,12 36 47.341,+62 12 51.16,4-101.0,27.95,,0.96,3
662,12 36 55.003,+62 13 14.78,3-132.0,23.81,,0.56,4
663,12 36 49.305,+62 12 57.41,3-124.0,27.15,,0.64,4
664,12 36 43.267,+62 12 38.85,4-491.1,24.81,,2.0,4
665,12 36 53.719,+62 13 11.07,3-127.0,25.7,,1.48,4
666,12 36 52.877,+62 13 08.56,3-126.1,25.79,,1.92,4
667,12 36 53.130,+62 13 09.43,3-119.0,27.55,,1.44,4
668,12 36 40.489,+62 12 30.63,4-770.0,25.83,,1.32,4
669,12 36 39.773,+62 12 28.53,4-852.1111,23.72,,0.0,3
670,12 36 54.728,+62 13 14.77,3-118.1,24.29,2.232,1.92,4
671,12 36 47.543,+62 12 52.68,4-89.0,23.93,0.681,0.76,4
672,12 36 43.424,+62 12 40.12,4-469.0,26.69,,1.92,4
673,12 36 38.797,+62 12 25.99,4-930.0,25.4,,0.64,4
674,12 36 43.840,+62 12 41.54,4-439.1,24.98,,4.32,4
675,12 36 54.348,+62 13 14.06,3-107.0,25.15,,1.6,4
676,12 36 48.107,+62 12 55.19,3-100.0,27.72,,0.2,1
677,12 36 39.240,+62 12 27.98,4-884.0,28.0,,4.4,2
678,12 36 39.718,+62 12 29.60,4-852.1112,24.27,,1.16,3
679,12 36 44.423,+62 12 44.13,4-393.1,23.94,,1.6,4
680,12 36 48.903,+62 12 57.95,3-98.0,26.19,,1.16,4
681,12 36 41.511,+62 12 35.22,4-661.2,26.96,,2.6,4
682,12 36 45.258,+62 12 46.89,4-310.0,28.0,,4.84,4
683,12 36 41.614,+62 12 35.69,4-661.1,24.49,,0.52,3
684,12 36 45.088,+62 12 46.42,4-325.0,26.58,,1.2,3
685,12 36 48.609,+62 12 57.86,3-90.0,26.9,,2.2,4
686,12 36 46.310,+62 12 50.87,4-201.0,26.55,,0.04,4
687,12 36 47.772,+62 12 55.68,4-52.111,23.95,2.931,0.28,3
688,12 36 39.569,+62 12 30.49,4-852.12,25.4,,3.4,3
689,12 36 39.865,+62 12 31.59,4-823.0,24.19,,0.64,3
690,12 36 44.121,+62 12 44.84,4-403.0,24.78,,1.32,1
691,12 36 54.507,+62 13 16.92,3-81.0,27.57,,0.0,2
692,12 36 56.840,+62 13 24.25,3-83.1,25.5,,1.8,4
693,12 36 55.029,+62 13 18.75,3-82.0,25.11,,0.6,1
694,12 36 43.151,+62 12 42.23,4-493.0,21.74,0.847,0.72,1
695,12 36 44.789,+62 12 47.34,4-340.0,27.81,,3.24,4
696,12 36 54.171,+62 13 16.41,3-79.0,24.39,,1.16,4
697,12 36 45.235,+62 12 49.01,4-302.0,27.53,,0.32,4
698,12 36 52.226,+62 13 10.67,3-75.0,26.99,,3.8,4
699,12 36 45.481,+62 12 49.99,4-278.0,27.17,,1.56,4
700,12 36 55.608,+62 13 21.18,3-77.0,26.16,,0.04,2
701,12 36 38.875,+62 12 30.00,4-906.0,27.95,,0.0,4
702,12 36 41.716,+62 12 38.82,4-639.1,24.6,,0.0,4
703,12 36 39.976,+62 12 33.66,4-801.0,24.51,,0.92,4
704,12 36 41.540,+62 12 38.87,4-639.2,25.21,,4.16,4
705,12 36 45.962,+62 12 52.63,4-222.0,27.73,,1.4,4
706,12 36 45.770,+62 12 52.19,4-240.0,27.95,,4.0,4
707,12 36 40.534,+62 12 36.19,4-730.0,27.33,,1.0,3
708,12 36 52.810,+62 13 14.36,3-56.0,26.11,,1.32,4
709,12 36 44.182,+62 12 47.83,4-402.32,21.62,0.558,0.56,4
710,12 36 46.528,+62 12 55.23,4-161.0,24.8,,0.92,4
711,12 36 56.143,+62 13 25.17,3-48.0,25.16,,1.08,1
712,12 36 45.026,+62 12 51.02,4-316.0,24.08,,1.76,4
713,12 36 48.717,+62 13 02.45,3-51.0,25.44,,0.4,3
714,12 36 54.249,+62 13 19.56,3-44.0,27.2,,4.8,4
715,12 36 53.602,+62 13 17.95,3-41.0,26.1,,1.92,4
716,12 36 38.406,+62 12 31.32,4-946.0,22.61,,0.68,2
717,12 36 56.534,+62 13 27.42,3-36.0,25.73,,1.28,4
718,12 36 42.479,+62 12 45.09,4-521.0,25.76,,1.32,4
719,12 36 49.682,+62 13 07.36,3-37.0,24.28,,0.92,4
720,12 36 43.966,+62 12 50.07,4-402.31,20.97,0.557,0.52,2
721,12 36 52.009,+62 13 14.91,2-418.0,26.0,,1.96,4
722,12 36 41.852,+62 12 43.64,4-588.1,24.92,,2.4,4
723,12 36 41.383,+62 12 42.24,4-638.1,25.06,,0.76,4
724,12 36 53.982,+62 13 21.05,3-21.0,26.9,,2.08,4
725,12 36 53.486,+62 13 19.67,3-18.0,27.72,,1.24,4
726,12 36 53.743,+62 13 20.49,3-15.0,27.75,,1.72,4
727,12 36 38.600,+62 12 33.86,4-916.0,23.93,,0.16,3
728,12 36 55.712,+62 13 26.82,2-838.0,25.34,,1.6,4
729,12 36 54.689,+62 13 23.74,3-10.0,27.58,,1.6,3
730,12 36 48.789,+62 13 05.70,3-17.0,25.76,,3.32,4
731,12 36 48.457,+62 13 04.89,2-102.0,25.88,,0.92,4
732,12 36 44.245,+62 12 52.09,4-365.0,25.35,,1.36,4
733,12 36 39.396,+62 12 37.44,4-829.1,25.04,,0.96,4
734,12 36 56.127,+62 13 29.66,2-906.0,23.39,,1.08,4
735,12 36 43.812,+62 12 51.86,4-402.1,24.76,,0.92,4
736,12 36 50.621,+62 13 12.93,2-309.0,26.37,,0.16,3
737,12 36 53.264,+62 13 21.49,2-591.11,24.35,,1.6,4
738,12 36 51.557,+62 13 16.70,2-395.0,27.82,,0.72,4
739,12 36 55.646,+62 13 29.60,2-846.0,27.02,,0.76,4
740,12 36 49.034,+62 13 09.75,2-180.0,24.01,,0.96,4
741,12 36 54.053,+62 13 25.36,2-671.0,26.28,,0.48,3
742,12 36 53.188,+62 13 22.72,2-591.2,24.83,2.489,2.28,4
743,12 36 49.374,+62 13 11.25,2-264.2,22.12,0.478,0.44,3
744,12 36 55.397,+62 13 29.87,2-833.0,25.09,,1.12,4
745,12 36 53.788,+62 13 25.39,2-656.0,24.99,,1.8,4
746,12 36 49.719,+62 13 13.04,2-264.1,21.45,0.475,0.52,2
747,12 36 52.892,+62 13 23.07,2-557.0,27.29,,0.12,2
748,12 36 53.411,+62 13 24.99,2-619.1,25.68,,0.44,4
749,12 36 50.476,+62 13 16.12,2-339.1,22.6,,0.88,2
750,12 36 48.741,+62 13 11.05,2-154.0,27.3,,0.6,2
751,12 36 48.078,+62 13 09.02,2-121.111,20.45,0.475,0.36,1
752,12 36 43.868,+62 12 56.13,1-18.0,25.87,,0.72,4
753,12 36 52.201,+62 13 23.28,2-486.0,26.59,,0.24,4
754,12 36 56.117,+62 13 35.71,2-928.0,24.91,,0.88,4
755,12 36 53.383,+62 13 27.58,2-628.0,26.49,,2.96,4
756,12 36 47.929,+62 13 10.92,2-121.12,24.52,,0.72,4
757,12 36 51.057,+62 13 20.69,2-404.0,19.6,0.199,0.12,3
758,12 36 52.280,+62 13 25.34,2-506.0,27.37,,1.12,3
759,12 36 49.443,+62 13 16.65,2-256.0,23.23,,1.24,3
760,12 36 55.226,+62 13 34.69,2-843.1,24.83,,1.48,4
761,12 36 52.222,+62 13 25.52,2-506.0,26.5,,2.44,4
762,12 36 53.432,+62 13 29.41,2-643.0,24.6,2.991,3.0,4
763,12 36 48.510,+62 13 14.32,2-160.0,25.33,,0.0,1
