ra,dec,z_spec,source_name
189.088,62.202,0.78,[ABB2003] CDFN 126
189.24,62.203,0.66,[ABB2003] CDFN 296
189.3,62.203,2.91,[ABB2003] CDFN 369
189.144,62.204,0.46,[ABB2003] CDFN 180
189.316,62.204,1.02,[ABB2003] CDFN 384
188.984,62.205,0.96,[ABB2003] CDFN 48
189.209,62.205,0.9,[ABB2003] CDFN 261
189.494,62.205,0.09,[ABB2003] CDFN 479
189.028,62.206,0.75,[ABB2003] CDFN 78
189.064,62.206,0.32,[ABB2003] CDFN 105
189.216,62.206,0.3,[ABB2003] CDFN 267
189.31,62.206,1.08,[ABB2003] CDFN 378
189.63,62.206,1.99,[ABB2003] CDFN 500
189.166,62.208,1.5,[ABB2003] CDFN 207
189.13,62.21,0.46,[ABB2003] CDFN 166
189.196,62.21,0.32,[ABB2003] CDFN 245
189.374,62.21,0.16,[ABB2003] CDFN 426
189.086,62.211,1.34,[ABB2003] CDFN 122
189.094,62.211,0.63,[ABB2003] CDFN 131
189.144,62.211,1.22,[ABB2003] CDFN 182
189.351,62.212,0.8,[ABB2003] CDFN 414
189.528,62.212,1.02,[ABB2003] CDFN 489
189.236,62.213,0.52,[ABB2003] CDFN 291
189.339,62.213,0.1,[ABB2003] CDFN 404
189.384,62.213,1.02,[ABB2003] CDFN 433
189.083,62.214,0.69,[ABB2003] CDFN 120
189.166,62.214,0.85,[ABB2003] CDFN 211
189.183,62.214,0.56,[ABB2003] CDFN 227
189.422,62.214,1.6,[ABB2003] CDFN 457
189.081,62.215,0.47,[ABB2003] CDFN 119
188.872,62.216,2.41,[ABB2003] CDFN 11
189.114,62.216,1.22,[ABB2003] CDFN 149
189.162,62.216,1.14,[ABB2003] CDFN 203
189.095,62.217,0.47,[ABB2003] CDFN 136
189.237,62.217,1.24,[ABB2003] CDFN 294
189.094,62.218,2.98,[ABB2003] CDFN 133
189.2,62.219,0.47,[ABB2003] CDFN 249
189.396,62.219,0.64,[ABB2003] CDFN 439
189.408,62.219,1.24,[ABB2003] CDFN 448
189.207,62.22,0.47,[ABB2003] CDFN 260
189.231,62.22,0.95,[ABB2003] CDFN 286
189.453,62.22,0.91,[ABB2003] CDFN 468
189.06,62.222,0.45,[ABB2003] CDFN 101
189.151,62.222,0.68,[ABB2003] CDFN 192
189.3,62.224,2.0,[ABB2003] CDFN 368
189.297,62.225,1.97,[ABB2003] CDFN 366
189.402,62.226,0.85,[ABB2003] CDFN 442
189.416,62.227,0.84,[ABB2003] CDFN 453
189.504,62.227,0.44,[ABB2003] CDFN 483
189.161,62.228,1.02,[ABB2003] CDFN 201
189.074,62.229,0.53,[ABB2003] CDFN 114
189.096,62.23,0.48,[ABB2003] CDFN 138
189.153,62.23,0.96,[ABB2003] CDFN 193
189.206,62.23,0.09,[ABB2003] CDFN 257
189.335,62.231,0.85,[ABB2003] CDFN 402
189.22,62.232,1.36,[ABB2003] CDFN 272
189.394,62.232,0.84,[ABB2003] CDFN 437
189.351,62.233,0.47,[ABB2003] CDFN 413
189.434,62.233,0.51,[ABB2003] CDFN 462
189.193,62.235,0.96,[ABB2003] CDFN 240
189.206,62.235,0.75,[ABB2003] CDFN 258
189.25,62.235,0.52,[ABB2003] CDFN 308
189.28,62.236,2.49,[ABB2003] CDFN 347
189.092,62.238,1.38,[ABB2003] CDFN 130
189.14,62.238,3.4,[ABB2003] CDFN 176
189.593,62.238,0.99,[ABB2003] CDFN 495
189.148,62.24,2.0,[ABB2003] CDFN 190
189.308,62.24,0.47,[ABB2003] CDFN 373
189.201,62.241,0.14,[ABB2003] CDFN 251
189.269,62.241,0.56,[ABB2003] CDFN 332
189.006,62.243,0.53,[ABB2003] CDFN 60
189.245,62.243,0.68,[ABB2003] CDFN 304
189.07,62.244,0.52,[ABB2003] CDFN 111
189.22,62.246,0.32,[ABB2003] CDFN 274
189.25,62.247,0.76,[ABB2003] CDFN 310
189.185,62.248,1.49,[ABB2003] CDFN 229
189.578,62.248,1.21,[ABB2003] CDFN 494
188.919,62.249,0.32,[ABB2003] CDFN 22
189.217,62.249,0.36,[ABB2003] CDFN 269
189.495,62.249,0.46,[ABB2003] CDFN 480
189.286,62.25,0.57,[ABB2003] CDFN 354
188.98,62.251,0.21,[ABB2003] CDFN 46
189.032,62.251,1.68,[ABB2003] CDFN 80
189.318,62.253,0.56,[ABB2003] CDFN 388
188.989,62.254,2.42,[ABB2003] CDFN 51
189.067,62.254,2.58,[ABB2003] CDFN 109
189.123,62.254,3.65,[ABB2003] CDFN 161
188.953,62.255,0.89,[ABB2003] CDFN 33
189.426,62.255,0.07,[ABB2003] CDFN 458
189.096,62.257,2.59,[ABB2003] CDFN 137
189.335,62.257,0.94,[ABB2003] CDFN 401
189.193,62.258,0.85,[ABB2003] CDFN 241
188.956,62.26,2.2,[ABB2003] CDFN 35
189.347,62.261,2.24,[ABB2003] CDFN 409
188.995,62.262,0.11,[ABB2003] CDFN 56
189.094,62.262,0.64,[ABB2003] CDFN 132
189.261,62.262,0.51,[ABB2003] CDFN 323
189.166,62.263,0.85,[ABB2003] CDFN 210
189.176,62.263,0.86,[ABB2003] CDFN 222
189.299,62.263,0.94,[ABB2003] CDFN 367
188.828,62.264,0.14,[ABB2003] CDFN 3
188.999,62.264,0.38,[ABB2003] CDFN 57
189.009,62.264,0.09,[ABB2003] CDFN 62
189.028,62.264,2.42,[ABB2003] CDFN 77
188.984,62.265,0.44,[ABB2003] CDFN 47
189.033,62.265,0.46,[ABB2003] CDFN 83
188.913,62.267,2.57,[ABB2003] CDFN 20
189.262,62.267,1.58,[ABB2003] CDFN 324
189.462,62.267,1.17,[ABB2003] CDFN 471
189.283,62.268,0.94,[ABB2003] CDFN 352
189.572,62.269,1.25,[ABB2003] CDFN 493
188.979,62.27,1.02,[ABB2003] CDFN 43
189.122,62.27,0.85,[ABB2003] CDFN 160
189.252,62.271,0.91,[ABB2003] CDFN 311
189.282,62.271,0.94,[ABB2003] CDFN 351
189.312,62.271,1.52,[ABB2003] CDFN 381
188.984,62.272,0.3,[ABB2003] CDFN 49
189.183,62.272,1.01,[ABB2003] CDFN 226
188.839,62.274,0.56,[ABB2003] CDFN 5
189.489,62.274,2.92,[ABB2003] CDFN 478
189.094,62.275,2.47,[ABB2003] CDFN 135
189.145,62.275,0.85,[ABB2003] CDFN 187
189.264,62.275,0.36,[ABB2003] CDFN 326
189.47,62.275,0.31,[ABB2003] CDFN 473
189.075,62.276,0.68,[ABB2003] CDFN 115
189.446,62.276,0.44,[ABB2003] CDFN 466
189.245,62.277,0.3,[ABB2003] CDFN 305
189.04,62.278,1.34,[ABB2003] CDFN 86
188.91,62.279,0.71,[ABB2003] CDFN 19
189.281,62.279,1.02,[ABB2003] CDFN 346
189.319,62.279,0.56,[ABB2003] CDFN 389
189.269,62.281,0.38,[ABB2003] CDFN 333
189.167,62.282,0.94,[ABB2003] CDFN 212
188.951,62.284,1.48,[ABB2003] CDFN 32
189.279,62.284,1.02,[ABB2003] CDFN 344
189.416,62.284,0.46,[ABB2003] CDFN 454
189.276,62.287,0.25,[ABB2003] CDFN 339
188.905,62.29,2.05,[ABB2003] CDFN 16
189.213,62.292,0.32,[ABB2003] CDFN 264
189.544,62.292,1.25,[ABB2003] CDFN 490
189.32,62.293,1.15,[ABB2003] CDFN 390
189.133,62.296,0.68,[ABB2003] CDFN 170
189.301,62.298,1.25,[ABB2003] CDFN 370
188.84,62.302,0.14,[ABB2003] CDFN 6
189.427,62.303,2.3,[ABB2003] CDFN 459
189.0,62.304,1.14,[ABB2003] CDFN 58
189.169,62.309,1.14,[ABB2003] CDFN 214
189.098,62.31,1.01,[ABB2003] CDFN 139
189.476,62.311,0.47,[ABB2003] CDFN 476
189.257,62.312,0.23,[ABB2003] CDFN 316
189.205,62.313,0.59,[ABB2003] CDFN 256
189.325,62.315,2.22,[ABB2003] CDFN 394
189.189,62.317,0.46,[ABB2003] CDFN 234
189.51,62.321,1.23,[ABB2003] CDFN 484
189.002,62.324,3.19,[ABB2003] CDFN 59
189.144,62.324,0.87,[ABB2003] CDFN 184
189.054,62.325,3.94,[ABB2003] CDFN 97
188.909,62.326,1.22,[ABB2003] CDFN 18
189.022,62.326,0.52,[ABB2003] CDFN 69
189.249,62.326,1.14,[ABB2003] CDFN 309
189.05,62.328,2.22,[ABB2003] CDFN 95
189.356,62.328,0.28,[ABB2003] CDFN 418
189.21,62.335,1.01,[ABB2003] CDFN 262
189.223,62.339,1.02,[ABB2003] CDFN 278
189.14,62.341,1.01,[ABB2003] CDFN 175
189.01,62.346,0.8,[ABB2003] CDFN 63
189.051,62.349,1.19,[ABB2003] CDFN 96
189.414,62.35,0.84,[ABB2003] CDFN 451
189.255,62.353,0.8,[ABB2003] CDFN 313
189.349,62.354,3.52,[ABB2003] CDFN 411
189.276,62.36,0.9,[ABB2003] CDFN 340
189.119,62.361,1.19,[ABB2003] CDFN 154
189.21,62.362,0.48,[ABB2003] CDFN 263
189.281,62.363,1.45,[ABB2003] CDFN 348
189.161,62.365,0.64,[ABB2003] CDFN 202
189.123,62.371,0.85,[ABB2003] CDFN 162
189.046,62.375,0.98,[ABB2003] CDFN 89
189.357,62.379,2.21,[ABB2003] CDFN 420
189.1,62.383,0.75,[ABB2003] CDFN 141
189.296,62.391,1.39,[ABB2003] CDFN 364
189.013,62.392,0.33,[ABB2003] CDFN 66
189.241,62.392,1.2,[ABB2003] CDFN 298
189.246,62.423,3.05,[ABB2003] CDFN 306
189.278,62.43,0.47,[ABB2003] CDFN 343
189.218,62.469,0.33,[ABB2003] CDFN 270
