ra,dec,star_flag,near_star,use_phot,z_spec,z_peak,field
188.93832397,62.20608521,0,0,1,,0.4101,GOODS-N
188.93862915,62.20021439,2,0,0,,3.7204,GOODS-N
188.93878174,62.18499374,2,0,0,,0.8573,GOODS-N
188.93896484,62.19280243,0,0,1,,2.2963,GOODS-N
188.93910217,62.19800568,2,0,1,,1.3242,GOODS-N
188.93928528,62.19674301,0,0,1,,0.7714,GOODS-N
188.9393158,62.1983757,0,0,1,,0.8277,GOODS-N
188.93934631,62.18554688,2,0,1,,1.8156,GOODS-N
188.93969727,62.19891357,0,0,1,,0.961,GOODS-N
188.93988037,62.19490051,0,0,1,,1.1988,GOODS-N
188.94000244,62.1913414,2,0,1,,0.7129,GOODS-N
188.94006348,62.1866951,2,0,1,,0.7506,GOODS-N
188.9402771,62.19434738,0,0,1,,0.4844,GOODS-N
188.94036865,62.20451355,0,0,1,,1.1884,GOODS-N
188.94044495,62.20001984,2,0,1,,0.6983,GOODS-N
188.94087219,62.19235611,2,0,1,,1.0569,GOODS-N
188.94099426,62.21009064,2,0,1,,0.4821,GOODS-N
188.9410553,62.2029686,2,0,1,,1.5027,GOODS-N
188.94108582,62.20667267,2,0,1,,0.5598,GOODS-N
188.94125366,62.18634796,2,0,1,,2.4979,GOODS-N
188.94139099,62.20391083,0,0,1,,0.7989,GOODS-N
188.94158936,62.19115829,0,0,1,,0.6373,GOODS-N
188.94160461,62.20121384,0,0,1,,0.7217,GOODS-N
188.9417572,62.19195557,0,0,1,,1.7377,GOODS-N
188.94178772,62.19803238,0,0,1,,0.4495,GOODS-N
188.94184875,62.18188095,0,0,0,,3.2582,GOODS-N
188.94184875,62.18751907,2,0,1,,1.5899,GOODS-N
188.94212341,62.19160461,2,0,0,,1.3883,GOODS-N
188.94221497,62.20963287,2,0,1,,1.723,GOODS-N
188.942276,62.18182755,0,0,0,,0.483,GOODS-N
188.94230652,62.18847275,2,0,1,,0.4229,GOODS-N
188.94242859,62.19694138,0,0,1,,1.8485,GOODS-N
188.9425354,62.1893425,0,0,1,,1.6637,GOODS-N
188.94290161,62.18962097,0,0,1,,2.1312,GOODS-N
188.94308472,62.20249176,2,0,1,,3.4928,GOODS-N
188.94309998,62.18923569,0,0,1,,2.8517,GOODS-N
188.94317627,62.19917297,0,0,1,,0.4884,GOODS-N
188.94334412,62.19099426,2,0,1,,3.2421,GOODS-N
188.94340515,62.20612717,0,0,1,,1.2949,GOODS-N
188.94346619,62.20988464,0,0,1,,1.2277,GOODS-N
188.94348145,62.19116211,0,0,1,,3.19,GOODS-N
188.94351196,62.18768311,2,0,1,,0.0434,GOODS-N
188.94361877,62.20053482,1,0,0,,0.0195,GOODS-N
188.94390869,62.19924927,0,0,1,,2.1845,GOODS-N
188.94392395,62.20262909,0,0,1,,1.835,GOODS-N
188.94396973,62.18877029,2,0,0,,2.8497,GOODS-N
188.94403076,62.20895767,2,0,0,,1.0973,GOODS-N
188.94432068,62.18410492,0,0,0,,0.8289,GOODS-N
188.94436646,62.19788361,2,0,1,,2.5833,GOODS-N
188.94436646,62.20161819,0,0,1,,2.3452,GOODS-N
188.94438171,62.19099808,2,0,1,,3.0815,GOODS-N
188.94439697,62.20069504,2,0,1,,0.4866,GOODS-N
188.94448853,62.20140076,2,0,1,,0.288,GOODS-N
188.94451904,62.18643188,0,0,0,,1.2552,GOODS-N
188.94451904,62.21043015,0,0,1,,1.738,GOODS-N
188.94454956,62.20065689,2,0,1,,4.4769,GOODS-N
188.94485474,62.18262482,0,0,0,,0.7968,GOODS-N
188.94490051,62.1898613,2,0,1,,1.8338,GOODS-N
188.94511414,62.18773651,2,0,0,,1.6236,GOODS-N
188.94514465,62.20007324,0,0,1,,0.7875,GOODS-N
188.94520569,62.18384933,2,0,0,,0.8793,GOODS-N
188.94523621,62.20458603,0,0,1,,0.0833,GOODS-N
188.94526672,62.18026733,0,0,0,,0.9701,GOODS-N
188.94526672,62.19149017,2,0,1,,1.1677,GOODS-N
188.9453125,62.19743347,0,0,1,,2.014,GOODS-N
188.94546509,62.19891739,0,0,1,,0.6537,GOODS-N
188.94549561,62.20311356,2,0,0,,1.9217,GOODS-N
188.94551086,62.19441223,0,0,1,,1.0526,GOODS-N
188.94554138,62.1807785,2,0,0,,2.3065,GOODS-N
188.94558716,62.18749619,2,0,1,,5.5825,GOODS-N
188.94573975,62.18906021,2,0,1,,0.7965,GOODS-N
188.945755,62.2097435,2,0,1,,1.5938,GOODS-N
188.94578552,62.20733643,2,0,1,,1.1161,GOODS-N
188.94584656,62.19566345,2,0,1,,0.0559,GOODS-N
188.94584656,62.2043457,0,0,1,,2.0626,GOODS-N
188.94587708,62.17999649,0,0,0,,3.5899,GOODS-N
188.94602966,62.19133759,2,0,1,,3.6318,GOODS-N
188.94610596,62.23420334,2,0,0,,0.8894,GOODS-N
188.94610596,62.2348671,2,0,1,,1.8775,GOODS-N
188.94619751,62.23558426,0,0,1,,0.8506,GOODS-N
188.94621277,62.18205261,0,0,0,,0.8214,GOODS-N
188.94624329,62.19370651,0,0,1,,3.051,GOODS-N
188.94633484,62.18610001,2,0,0,,0.4372,GOODS-N
188.94638062,62.18022919,0,0,0,,0.0716,GOODS-N
188.94642639,62.23028946,0,0,1,,0.855,GOODS-N
188.94654846,62.23377991,0,0,1,,1.573,GOODS-N
188.94665527,62.20015335,2,0,1,,1.2617,GOODS-N
188.94670105,62.18663025,0,0,0,,2.6107,GOODS-N
188.94671631,62.20606232,0,0,1,,2.3074,GOODS-N
188.94673157,62.19932556,2,0,1,,0.788,GOODS-N
188.94674683,62.18084335,0,0,0,,0.9192,GOODS-N
188.9467926,62.20099258,0,0,1,,1.0026,GOODS-N
188.94700623,62.22825623,0,0,1,,3.3475,GOODS-N
188.94708252,62.18293381,2,0,1,,0.5397,GOODS-N
188.94708252,62.23551559,2,0,1,,1.2786,GOODS-N
188.94714355,62.21297455,0,0,1,,1.4424,GOODS-N
188.94714355,62.23151779,0,0,1,,0.3945,GOODS-N
188.94718933,62.19648743,2,0,1,,3.9598,GOODS-N
